"species","lon","lat"
"Scinax ruber",-64.851009,-14.819977
"Scinax ruber",-78.10888,-1.364607
"Scinax ruber",-61.232565,10.699711
"Scinax ruber",-61.351756,10.716142
"Scinax ruber",-60.67632,11.281287
"Scinax ruber",-61.40565,10.518008
"Scinax ruber",-75.052821,9.16397
"Scinax ruber",-75.281675,9.342559
"Scinax ruber",-73.891066,7.259703
"Scinax ruber",-74.529009,9.858498
"Scinax ruber",-73.638739,9.841444
"Scinax ruber",-61.427387,10.353119
"Scinax ruber",-67.673805,-9.74781
"Scinax ruber",-78.635074,-4.036917
"Scinax ruber",-74.766441,2.124103
"Scinax ruber",-73.893391,7.204202
"Scinax ruber",-73.850152,7.288402
"Scinax ruber",-73.815171,7.259886
"Scinax ruber",-52.673019,4.038086
"Scinax ruber",-61.811314,-16.768549
"Scinax ruber",-73.8664,7.507204
"Scinax ruber",-73.71306,7.3217
"Scinax ruber",-73.825912,7.352003
"Scinax ruber",-73.768598,7.347148
"Scinax ruber",-73.86294,7.45795
"Scinax ruber",-73.834668,7.429239
"Scinax ruber",-60.741772,11.228824
"Scinax ruber",-77.030025,0.667076
"Scinax ruber",-74.034846,11.156014
"Scinax ruber",-73.88075,7.37687
"Scinax ruber",-75.709463,9.397798
"Scinax ruber",-72.511944,8.015278
"Scinax ruber",-61.051489,10.822959
"Scinax ruber",-59.956168,-2.940101
"Scinax ruber",-53.809722,5.561944
"Scinax ruber",-67.614258,-14.334683
"Scinax ruber",-57.879503,6.532304
"Scinax ruber",-76.8759,0.57297
"Scinax ruber",-75.062738,9.072109
"Scinax ruber",-75.388376,9.315079
"Scinax ruber",-61.043411,10.510895
"Scinax ruber",-52.777856,5.223369
"Scinax ruber",-55.126274,5.786735
"Scinax ruber",-55.462969,5.762817
"Scinax ruber",-75.369351,3.176218
"Scinax ruber",-75.388745,3.036624
"Scinax ruber",-75.160657,7.942577
"Scinax ruber",-74.819069,6.772635
"Scinax ruber",-61.545537,10.671218
"Scinax ruber",-76.077826,-0.49167
"Scinax ruber",-52.354015,4.876872
"Scinax ruber",-75.024695,10.749349
"Scinax ruber",-73.974445,7.32345
"Scinax ruber",-63.789057,-16.163016
"Scinax ruber",-55.153606,5.867388
"Scinax ruber",-67.916205,3.862225
"Scinax ruber",-61.310278,10.205231
"Scinax ruber",-72.027789,-7.797644
"Scinax ruber",-66.032243,-11.062096
"Scinax ruber",-74.847672,9.217756
"Scinax ruber",-74.858464,9.312731
"Scinax ruber",-61.445382,10.688801
"Scinax ruber",-76.087267,1.888529
"Scinax ruber",-53.654223,5.41229
"Scinax ruber",-66.368727,-11.405904
"Scinax ruber",-80.006825,7.525506
"Scinax ruber",-75.408311,9.215011
"Scinax ruber",-79.581392,9.005714
"Scinax ruber",-61.533893,10.082877
"Scinax ruber",-61.175278,10.299698
"Scinax ruber",-75.19148,9.89868
"Scinax ruber",-75.153698,9.922729
"Scinax ruber",-79.543405,9.554406
"Scinax ruber",-75.559893,7.916695
"Scinax ruber",-60.044197,-2.644705
"Scinax ruber",-72.02486,4.98923
"Scinax ruber",-71.74732,5.53749
"Scinax ruber",-59.809299,-3.717493
"Scinax ruber",-78.631133,-3.7502
"Scinax ruber",-73.791528,3.702494
"Scinax ruber",-70.167563,6.603117
"Scinax ruber",-66.036645,-10.929463
"Scinax ruber",-64.720043,-15.191228
"Scinax ruber",-52.358995,4.665533
"Scinax ruber",-74.264381,9.560027
"Scinax ruber",-74.28604,9.342827
"Scinax ruber",-74.223765,9.394386
"Scinax ruber",-76.319037,0.5053
"Scinax ruber",-61.200578,10.477798
"Scinax ruber",-77.764967,-0.969538
"Scinax ruber",-76.832939,-0.173559
"Scinax ruber",-61.452849,10.29857
"Scinax ruber",-71.870946,4.787799
"Scinax ruber",-71.940091,4.860411
"Scinax ruber",-71.947721,4.795205
"Scinax ruber",-76.411965,0.479217
"Scinax ruber",-73.584793,3.89134
"Scinax ruber",-73.062705,-3.509753
"Scinax ruber",-70.094864,-12.562743
"Scinax ruber",-78.951144,-4.070533
"Scinax ruber",-79.421822,-0.016708
"Scinax ruber",-74.267239,10.402166
"Scinax ruber",-78.033955,-1.506863
"Scinax ruber",-73.837118,7.169417
"Scinax ruber",-73.922462,7.362736
"Scinax ruber",-78.565593,-3.423026
"Scinax ruber",-77.384796,-1.21285
"Scinax ruber",-61.388097,10.242344
"Scinax ruber",-77.497495,0.205282
"Scinax ruber",-59.989467,-3.091358
"Scinax ruber",-53.210186,3.624092
"Scinax ruber",-66.09848,-13.762331
"Scinax ruber",-77.448862,-1.269216
"Scinax ruber",-75.335522,9.258596
"Scinax ruber",-67.787062,-10.037061
"Scinax ruber",-73.57876,8.27428
"Scinax ruber",-72.386378,5.498187
"Scinax ruber",-73.875288,7.091317
"Scinax ruber",-52.591595,3.9924
"Scinax ruber",-51.794461,3.886609
"Scinax ruber",-72.712347,5.003381
